Position,Group_0,Group_1
1,2.0,0.0
2,1.0,1.0
3,1.3333333333333333,0.6666666666666666
4,1.5,0.5
5,1.6,0.4
6,1.6666666666666667,0.3333333333333333
7,1.7142857142857142,0.2857142857142857
8,1.5,0.5
9,1.5555555555555556,0.4444444444444444
10,1.4,0.6
11,1.4545454545454546,0.5454545454545454
12,1.5,0.5
13,1.5384615384615385,0.46153846153846156
14,1.4285714285714286,0.5714285714285714
15,1.4666666666666666,0.5333333333333333
16,1.375,0.625
17,1.411764705882353,0.5882352941176471
18,1.4444444444444444,0.5555555555555556
19,1.4736842105263157,0.5263157894736842
20,1.5,0.5
21,1.5238095238095237,0.47619047619047616
22,1.5454545454545454,0.45454545454545453
23,1.565217391304348,0.43478260869565216
24,1.5,0.5
25,1.44,0.56
26,1.3846153846153846,0.6153846153846154
27,1.4074074074074074,0.5925925925925926
28,1.4285714285714286,0.5714285714285714
29,1.3793103448275863,0.6206896551724138
30,1.3333333333333333,0.6666666666666666
31,1.2903225806451613,0.7096774193548387
32,1.25,0.75
33,1.2121212121212122,0.7878787878787878
34,1.2352941176470589,0.7647058823529411
35,1.2,0.8
36,1.1666666666666667,0.8333333333333334
37,1.135135135135135,0.8648648648648649
38,1.105263157894737,0.8947368421052632
39,1.1282051282051282,0.8717948717948718
40,1.1,0.9
41,1.1219512195121952,0.8780487804878049
42,1.0952380952380953,0.9047619047619048
43,1.069767441860465,0.9302325581395349
44,1.0454545454545454,0.9545454545454546
45,1.0222222222222221,0.9777777777777777
46,1.0,1.0
47,0.9787234042553191,1.0212765957446808
48,0.9583333333333334,1.0416666666666667
49,0.9795918367346939,1.0204081632653061
50,1.0,1.0
