Position,Group_0,Group_1
1,2.0,0.0
2,1.0,1.0
3,1.3333333333333333,0.6666666666666666
4,1.5,0.5
5,1.6,0.4
6,1.6666666666666667,0.3333333333333333
7,1.7142857142857142,0.2857142857142857
8,1.75,0.25
9,1.7777777777777777,0.2222222222222222
10,1.8,0.2
11,1.8181818181818181,0.18181818181818182
12,1.8333333333333333,0.16666666666666666
13,1.8461538461538463,0.15384615384615385
14,1.8571428571428572,0.14285714285714285
15,1.8666666666666667,0.13333333333333333
16,1.875,0.125
17,1.8823529411764706,0.11764705882352941
18,1.7777777777777777,0.2222222222222222
19,1.6842105263157894,0.3157894736842105
20,1.6,0.4
21,1.5238095238095237,0.47619047619047616
22,1.5454545454545454,0.45454545454545453
23,1.4782608695652173,0.5217391304347826
24,1.4166666666666667,0.5833333333333334
25,1.44,0.56
26,1.3846153846153846,0.6153846153846154
27,1.4074074074074074,0.5925925925925926
28,1.4285714285714286,0.5714285714285714
29,1.3793103448275863,0.6206896551724138
30,1.3333333333333333,0.6666666666666666
31,1.2903225806451613,0.7096774193548387
32,1.25,0.75
33,1.2121212121212122,0.7878787878787878
34,1.2352941176470589,0.7647058823529411
35,1.2,0.8
36,1.1666666666666667,0.8333333333333334
37,1.135135135135135,0.8648648648648649
38,1.105263157894737,0.8947368421052632
39,1.1282051282051282,0.8717948717948718
40,1.1,0.9
41,1.1219512195121952,0.8780487804878049
42,1.0952380952380953,0.9047619047619048
43,1.069767441860465,0.9302325581395349
44,1.0454545454545454,0.9545454545454546
45,1.0222222222222221,0.9777777777777777
46,1.0,1.0
47,0.9787234042553191,1.0212765957446808
48,0.9583333333333334,1.0416666666666667
49,0.9795918367346939,1.0204081632653061
50,1.0,1.0
