doc_id,Name,Gender,predictions,GT_score,Gender
1,Hakeem Olajuwon*,male,26946,26946,male
2,Armen Gilliam,male,15213,15213,male
14,Odyssey Sims,female,2915,2915,female
15,Jessica Breland,female,1918,1918,female
3,John Lucas,male,11098,11098,male
16,Kamila Vodichkova,female,1779,1779,female
19,Teaira McCowan,female,1304,1304,female
4,Marc Gasol,male,9592,9592,male
20,Jessica Davenport,female,1148,1148,female
21,Katie Mattera,female,1000,1000,female
24,Alexis Hornbuckle,female,866,866,female
5,Marvin Williams,male,9122,9122,male
26,Aari McDonald,female,587,587,female
29,Sonja Henning,female,490,490,female
6,Wilson Chandler,male,8315,8315,male
30,Pamela McGee,female,488,488,female
32,Te'a Cooper,female,420,420,female
7,Tobias Harris,male,7024,7024,male
33,Teresa Edwards,female,375,375,female
34,Coretta Brown,female,344,344,female
35,Shakira Austin,female,312,312,female
8,Mario Elie,male,6502,6502,male
36,Nayo Raincock-Ekunwe,female,221,221,female
37,Kristy Wallace,female,190,190,female
9,Udonis Haslem,male,6478,6478,male
38,Kim Smith,female,107,107,female
39,Mikiko Hagiwara,female,98,98,female
10,Blair Rasmussen,male,5119,5119,male
40,Brooke McCarty-Williams,female,81,81,female
41,Mfon Udoka,female,80,80,female
42,Katrina Hibbert,female,53,53,female
11,George Wilson,male,3141,3141,male
43,Amanda Thompson,female,47,47,female
44,Carla Thomas,female,43,43,female
12,Dale Schlueter,male,3130,3130,male
45,Courtney Coleman,female,36,36,female
48,Kiana Williams,female,5,5,female
13,Fred Hoiberg,male,2944,2944,male
17,Tyler Johnson,male,1506,1506,male
18,Tim Bassett,male,1424,1424,male
22,Walter Bond,male,980,980,male
23,Bill Dinwiddie,male,974,974,male
25,Andre Spencer,male,692,692,male
27,Al Masino,male,560,560,male
28,John Shasky,male,517,517,male
31,Reggie Carter,male,471,471,male
46,Rich Laurel,male,24,24,male
47,Sun Yue,male,6,6,male
49,Roger Strickland,male,2,2,male
50,Ben Bentil,male,0,0,male
